antecedent,consequent,support,confidence,lift
RADIATION_MID + RAIN_LOW + WIND_MID,O3_MID + PM10_HIGH,0.008579227869491746,0.22297297297297297,4.432380054473078
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,NO2_HIGH + O3_LOW + PM10_HIGH + PM25_HIGH,0.012738853503184714,0.2929745889387145,4.419320613148099
RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM25_HIGH,0.026452619264266217,0.3959143968871595,4.414158630801331
HUMIDITY_HIGH + RAIN_HIGH + TEMP_LOW + WIND_LOW,O3_LOW + PM10_MID,0.006369426751592357,0.24438902743142144,4.4133445728402
HUMIDITY_HIGH + RAIN_MID + TEMP_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.00695437410633043,0.5144230769230769,4.409422541247054
RADIATION_HIGH + TEMP_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.009164175224229819,0.20494186046511628,4.403960146810445
RADIATION_HIGH + RAIN_HIGH,NO2_LOW + O3_HIGH + PM25_LOW,0.0076043156115949565,0.20490367775831875,4.40313964523672
HUMIDITY_HIGH + RADIATION_LOW + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH,0.030157285844274014,0.5792759051186017,4.39700990436843
RADIATION_MID + TEMP_LOW + WIND_LOW,O3_LOW + PM10_HIGH + PM25_HIGH,0.005914467697907188,0.32616487455197135,4.394371943832426
HUMIDITY_MID + RAIN_HIGH + TEMP_HIGH + WIND_HIGH,NO2_LOW + O3_HIGH + PM10_LOW,0.006889379955803978,0.3281733746130031,4.390674384170143
RADIATION_MID + RAIN_LOW + TEMP_LOW + WIND_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.00844923956843884,0.5118110236220472,4.387033097185971
RADIATION_HIGH + TEMP_HIGH + WIND_LOW,O3_HIGH + PM10_MID,0.007279344858962694,0.43410852713178294,4.382673096095546
HUMIDITY_LOW + RADIATION_HIGH + WIND_LOW,O3_HIGH + PM10_MID,0.0055245027947484725,0.4336734693877551,4.378280839895013
HUMIDITY_HIGH + RADIATION_LOW + RAIN_LOW,NO2_HIGH + O3_LOW + PM10_HIGH,0.022163005329520345,0.5097159940209267,4.36907536713425
